year,doy,hod,PPFD,Tair,VPD,E,A,height,Tleaf,sw,sw0,Ps,Pleaf,LAI,precip,u,coszen,Patm,CO2,O2,max_leaf_width,can_sat,kcanint,Vmax25,gamstar25,Tref,JV,Rlref,TRlref,Kc25,Ko25,alpha,c1,c2,c3,c4,eps_l,eps_s,albedo_l,albedo_l2,albedo_ws,albedo_ds,tau_l,chi_l,kn,Ev,Ej,Egamstar,Ec,Eo,deltaSv,deltaSj,Hdv,Hdj,T50,Tcrit,P50,P88,kmax,ratiocrit,gmin20,gminTp,Tp,g1,sfw,nPs,ground_area,Ztop,Zbottom,root_beta,Psie,hyds,theta_sat,fc,pwp,bch,r_soil
[-],[-],[-],[umol m-2 s-1],[deg C],[kPa],[mmol m-2 s-1],[umol m-2 s-1],[m],[deg C],[m3 m-3],[m3 m-3],[MPa],[MPa],[m2 m-2],[mm d-1],[m s-1],[-],[kPa],[Pa],[kPa],[m],[mm d-1],[-],[umol m-2 s-1],[Pa],[deg C],[-],[umol m-2 s-1],[deg C],[Pa],[Pa],[mol(photon) mol(e-)-1],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[-],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1],[J mol-1 K-1],[J mol-1 K-1],[J mol-1],[J mol-1],[deg C],[deg C],[-MPa],[-MPa],[mmol m-2 s-1 MPa-1],[-],[mol m-2 s-1],[mol m-2 s-1],[deg C],[kPa0.5],[-],[MPa],[m2],[m],[m],[1^(cm-1)],[MPa],[m s-1],[m3 m-3],[m3 m-3],[m3 m-3],[-],[-]
2016,304,3.5,0.000233333,19.24015236,0.363129414,0.056809921,-4.673500721,7.91,19.31683333,0.109,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,4,0.0016,19.1118927,0.374126742,0.135616571,-3.694894972,7.91,19.159,0.109,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,4.5,0.9909,18.84563541,0.356485479,0.164904026,-2.660224852,7.91,18.94083333,0.1085,0.086,NA,NA,3.679574586,0,0.5,0,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,5,24.87986667,19.07899761,0.374444016,0.329910304,-1.567408445,7.91,19.4655,0.108,0.086,NA,NA,3.679574586,0,0.5,0.000447429,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,5.5,77.28533333,19.76532316,0.371890633,0.525702662,5.397534795,7.91,20.4375,0.108,0.086,NA,NA,3.679574586,0,0.5,0.105057328,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,6,133.3123333,20.53392458,0.343597226,0.708061163,11.15412251,7.91,21.637,0.108,0.086,NA,NA,3.679574586,0,0.5,0.210306975,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,6.5,202.8633333,22.10386658,0.376469043,0.959436448,19.69619063,7.91,23.30816667,0.108,0.086,NA,NA,3.679574586,0,0.5,0.314395518,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,7,323.09,23.21501589,0.301809093,2.287586833,26.57696657,7.91,26.06816667,0.108,0.086,NA,NA,3.679574586,0,0.5,0.415541975,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,7.5,422.4633333,23.62654734,0.400575684,4.915285475,36.58731267,7.91,26.1315,0.108,0.086,NA,NA,3.679574586,0,0.5,0.5120157,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,8,428.8433333,24.49330521,0.619816777,5.182485397,31.04827187,7.91,26.06466667,0.108,0.086,NA,NA,3.679574586,0,0.5,0.602166003,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,8.5,590.27,25.89950848,0.798827435,5.160677736,31.89163636,7.91,28.00233333,0.108,0.086,NA,NA,3.679574586,0,0.5,0.684450385,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,9,585.8233333,26.70855045,0.945076774,5.182702716,31.78353995,7.91,28.69816667,0.108,0.085,NA,NA,3.679574586,0,0.5,0.75746094,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,304,9.5,521.5966667,27.4905405,1.070501515,4.508181936,29.11261593,7.91,28.8835,0.108,0.085,NA,NA,3.679574586,0,0.5,0.819948434,101.049,43.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
